id,level,skill,lesson,type,prompt,opt_a,opt_a_correct,opt_a_why,opt_b,opt_b_correct,opt_b_why,opt_c,opt_c_correct,opt_c_why,opt_d,opt_d_correct,opt_d_why,accepted,explanation,grammar_note,tags
c1-001,C1,grammar,precise-words,mcq,"Malay uses ialah before a noun and adalah before an adjective. Which is correct: Keputusan itu ___ tepat?","adalah",true,"Correct - tepat is an adjective, so adalah is used.","ialah",false,"ialah is used before a noun, not an adjective.","Both work equally",false,"They are not interchangeable; the choice depends on what follows.","Neither",false,"adalah is correct here.",,"adalah links to an adjective or prepositional phrase; ialah links to a noun.",word-choice,grammar
c1-002,C1,grammar,precise-words,mcq,"Which word best completes: Saya akhirnya ___ menyiapkan tugasan yang sukar itu?","dapat",true,"Correct - dapat stresses managing to do something through capability.","boleh",false,"boleh leans towards permission rather than achievement.","mahu",false,"mahu means want, not managed to.","akan",false,"akan marks the future, not accomplishment.",,"dapat expresses capability or managing to; boleh leans towards permission.",word-choice,grammar
c1-003,C1,grammar,precise-words,mcq,"Which word for want is the softest and most refined in tone?","ingin",true,"Correct - ingin expresses a refined wish or desire.","nak",false,"nak is the most casual, colloquial form.","mahu",false,"mahu is plain and neutral, not the softest.","hendak",false,"hendak is fairly formal but firmer than ingin.",,"ingin is the gentlest of the want words; nak is the most colloquial.",word-choice,grammar
c1-004,C1,grammar,precise-words,mcq,"Choose the correct word: Bahasa rasmi Malaysia ___ bahasa Melayu.","ialah",true,"Correct - bahasa Melayu is a noun, so ialah is used.","adalah",false,"adalah is for adjectives and prepositional phrases, not nouns.","yang",false,"yang links a noun to a description, not two nouns as equals.","pun",false,"pun means too or even.",,"ialah links a subject to a noun: Bahasa rasmi Malaysia ialah bahasa Melayu.",word-choice,grammar
c1-005,C1,grammar,precise-words,mcq,"Which word best fits: Awak ___ masuk ke bilik ini sekarang (you have permission to enter)?","boleh",true,"Correct - boleh expresses permission.","dapat",false,"dapat stresses capability, not permission.","pernah",false,"pernah means have done before.","sedang",false,"sedang marks an action in progress.",,"boleh expresses permission; dapat expresses capability.",word-choice,grammar
c1-006,C1,grammar,reduplication,mcq,"What does jalan-jalan mean?","to stroll or wander about",true,"Correct - reduplication here adds a casual, leisurely sense.","many roads",false,"This is not a simple plural of jalan.","a very long road",false,"Reduplication does not mean long here.","to run",false,"To run is berlari.",,"jalan-jalan means to stroll - reduplication signalling a casual activity.",reduplication,grammar
c1-007,C1,grammar,reduplication,mcq,"Although it is reduplicated, what does kanak-kanak mean?","a child",true,"Correct - kanak-kanak is a fixed word and is not a plural.","many children",false,"It is a fixed form, not a plural.","childish",false,"Childish would be kebudak-budakan.","childhood",false,"Childhood is zaman kanak-kanak.",,"Some reduplicated words are fixed: kanak-kanak simply means child.",reduplication,grammar
c1-008,C1,grammar,reduplication,mcq,"What does the reduplicated verb tolong-menolong express?","helping one another",true,"Correct - this reduplication pattern marks reciprocity.","helping just once",false,"It is not about a single action.","refusing to help",false,"It does not negate the verb.","helping quickly",false,"Speed is not what the pattern marks.",,"Reduplicating a verb this way marks reciprocity: tolong-menolong means to help one another.",reduplication,grammar
c1-009,C1,grammar,reduplication,mcq,"Which of these does reduplication NOT express in Malay?","verb tense",true,"Correct - Malay has no tense, and reduplication never marks it.","plurality",false,"Reduplication can mark plurality, as in buku-buku.","variety",false,"Reduplication can mark variety, as in sayur-sayuran.","reciprocity",false,"Reduplication can mark reciprocity, as in tolong-menolong.",,"Reduplication marks plurality, variety, casualness and reciprocity - but never tense.",reduplication,grammar
c1-010,C1,vocab,reduplication,mcq,"In everyday Malay, what does mata-mata most commonly mean?","a police officer",true,"Correct - mata-mata is a fixed word for a police officer.","many eyes",false,"It is not a literal plural of mata.","eyesight",false,"Eyesight is penglihatan.","spectacles",false,"Spectacles are cermin mata.",,"mata-mata is a fixed reduplicated word meaning a police officer.",reduplication,grammar
