id,level,skill,lesson,type,prompt,opt_a,opt_a_correct,opt_a_why,opt_b,opt_b_correct,opt_b_why,opt_c,opt_c_correct,opt_c_why,opt_d,opt_d_correct,opt_d_why,accepted,explanation,grammar_note,tags
b1-001,B1,affix,suffix-kan,mcq,"What does membersihkan mean?","to clean something",true,"Correct - bersih plus -kan makes the causative make clean.","to be clean",false,"That is just the adjective bersih.","cleanliness",false,"Cleanliness is kebersihan.","a cleaner",false,"The -kan suffix does not make a doer noun.",,"-kan often makes a causative verb: membersihkan means to make something clean.",affix-me-kan,affix
b1-002,B1,grammar,suffix-kan,mcq,"One main job of the -kan suffix is to make a verb...","causative - to make something happen",true,"Correct - -kan can add a make-it-happen meaning.","past tense",false,"Malay verbs have no tense.","a question",false,"-kan does not form questions.","plural",false,"-kan does not mark number.",,"-kan makes verbs causative (make something) or benefactive (do it for someone).",affix-me-kan,affix
b1-003,B1,affix,suffix-kan,mcq,"Which verb means to explain (to make clear), from the root jelas?","menjelaskan",true,"Correct - jelas plus me- and -kan.","berjelas",false,"The ber- prefix does not fit here.","terjelas",false,"ter- means most or accidental.","menjelasi",false,"The -i suffix would point to a place.",,"jelas plus -kan gives menjelaskan, to make clear.",affix-me-kan,affix
b1-004,B1,affix,suffix-kan,text,"Make the verb to buy for someone, from the root beli",,,,,,,,,,,,,membelikan,"beli plus me- and -kan gives membelikan - to buy for someone.",affix-me-kan,affix
b1-005,B1,grammar,suffix-i,mcq,"The -i suffix usually signals that the object is...","a place or surface",true,"Correct - -i often points to a location.","a person only",false,"It is not limited to people.","in the past",false,"Malay has no tense suffixes.","plural",false,"-i does not mark number.",,"-i tends to mark a place or surface, as in menduduki (to occupy).",affix-me-i,affix
b1-006,B1,affix,suffix-i,mcq,"Which verb means to visit someone, from the root kunjung?","mengunjungi",true,"Correct - kunjung plus me- and -i.","mengunjungkan",false,"The -kan suffix would change the meaning.","berkunjung",false,"berkunjung is intransitive and cannot take an object directly.","terkunjung",false,"ter- does not fit here.",,"mengunjungi means to visit a person or place.",affix-me-i,affix
b1-007,B1,affix,suffix-i,mcq,"From the root masuk, which verb means to enter a place?","memasuki",true,"Correct - memasuki acts on the place you enter.","memasukkan",false,"memasukkan means to put something in.","bermasuk",false,"This is not a real verb.","termasuk",false,"termasuk means included.",,"memasuki means to enter; memasukkan means to put something in.",affix-me-i,affix
b1-008,B1,grammar,suffix-i,mcq,"The rule of thumb is: -kan moves something, and -i...","acts on a place",true,"Correct - -i typically acts on a location or surface.","asks a question",false,"Neither suffix forms questions.","marks the past",false,"Malay has no tense.","makes a plural",false,"Neither suffix marks number.",,"-kan moves an object; -i acts on a place.",affix-me-i,affix
b1-009,B1,grammar,prefix-ter,mcq,"The verb terjatuh suggests the fall was...","accidental",true,"Correct - ter- here means it happened unintentionally.","planned",false,"ter- signals the opposite of planned.","repeated",false,"ter- does not mean repeated.","in the future",false,"ter- does not mark tense.",,"ter- can mark an accidental action: terjatuh means fell by accident.",prefix-ter,affix
b1-010,B1,grammar,prefix-ter,mcq,"What does terbesar mean?","biggest",true,"Correct - ter- on an adjective makes a superlative.","fell down",false,"That would be an accidental ter- verb.","will be big",false,"ter- does not mark the future.","was big",false,"ter- does not mark tense.",,"ter- plus an adjective means the most: terbesar is biggest.",prefix-ter,affix
